Ano;Nível;Unidade da Federação;Cor ou raça;Total
2022;UF;Rondônia;Total;1158795
2022;UF;Rondônia;Branca;353735
2022;UF;Rondônia;Preta;116902
2022;UF;Rondônia;Amarela;3343
2022;UF;Rondônia;Parda;674637
2022;UF;Rondônia;Indígena;10135
2022;UF;Acre;Total;560735
2022;UF;Acre;Branca;113987
2022;UF;Acre;Preta;55893
2022;UF;Acre;Amarela;1463
2022;UF;Acre;Parda;376103
2022;UF;Acre;Indígena;13283
2022;UF;Amazonas;Total;2640845
2022;UF;Amazonas;Branca;476586
2022;UF;Amazonas;Preta;152522
2022;UF;Amazonas;Amarela;5270
2022;UF;Amazonas;Parda;1837818
2022;UF;Amazonas;Indígena;168425
2022;UF;Roraima;Total;415564
2022;UF;Roraima;Branca;85875
2022;UF;Roraima;Preta;38192
2022;UF;Roraima;Amarela;605
2022;UF;Roraima;Parda;245062
2022;UF;Roraima;Indígena;45170
2022;UF;Pará;Total;5683463
2022;UF;Pará;Branca;1080069
2022;UF;Pará;Preta;626471
2022;UF;Pará;Amarela;10206
2022;UF;Pará;Parda;3927234
2022;UF;Pará;Indígena;38186
2022;UF;Amapá;Total;494765
2022;UF;Amapá;Branca;100377
2022;UF;Amapá;Preta;65725
2022;UF;Amapá;Amarela;643
2022;UF;Amapá;Parda;322197
2022;UF;Amapá;Indígena;5823
2022;UF;Tocantins;Total;1084747
2022;UF;Tocantins;Branca;247516
2022;UF;Tocantins;Preta;160803
2022;UF;Tocantins;Amarela;2905
2022;UF;Tocantins;Parda;663763
2022;UF;Tocantins;Indígena;9625
2022;UF;Maranhão;Total;4755664
2022;UF;Maranhão;Branca;943892
2022;UF;Maranhão;Preta;690986
2022;UF;Maranhão;Amarela;5183
2022;UF;Maranhão;Parda;3086942
2022;UF;Maranhão;Indígena;28222
2022;UF;Piauí;Total;2432318
2022;UF;Piauí;Branca;532479
2022;UF;Piauí;Preta;332300
2022;UF;Piauí;Amarela;2464
2022;UF;Piauí;Parda;1560519
2022;UF;Piauí;Indígena;4451
2022;UF;Ceará;Total;6599653
2022;UF;Ceará;Branca;1798984
2022;UF;Ceará;Preta;519217
2022;UF;Ceará;Amarela;9670
2022;UF;Ceará;Parda;4240683
2022;UF;Ceará;Indígena;29297
2022;UF;Rio Grande do Norte;Total;2498399
2022;UF;Rio Grande do Norte;Branca;956477
2022;UF;Rio Grande do Norte;Preta;263770
2022;UF;Rio Grande do Norte;Amarela;4421
2022;UF;Rio Grande do Norte;Parda;1266570
2022;UF;Rio Grande do Norte;Indígena;7027
2022;UF;Paraíba;Total;2969256
2022;UF;Paraíba;Branca;1037420
2022;UF;Paraíba;Preta;267726
2022;UF;Paraíba;Amarela;4060
2022;UF;Paraíba;Parda;1641411
2022;UF;Paraíba;Indígena;18508
2022;UF;Pernambuco;Total;6754615
2022;UF;Pernambuco;Branca;2237860
2022;UF;Pernambuco;Preta;760458
2022;UF;Pernambuco;Amarela;10425
2022;UF;Pernambuco;Parda;3683928
2022;UF;Pernambuco;Indígena;59785
2022;UF;Alagoas;Total;2261226
2022;UF;Alagoas;Branca;640673
2022;UF;Alagoas;Preta;248146
2022;UF;Alagoas;Amarela;4235
2022;UF;Alagoas;Parda;1354096
2022;UF;Alagoas;Indígena;13765
2022;UF;Sergipe;Total;1634445
2022;UF;Sergipe;Branca;399900
2022;UF;Sergipe;Preta;233771
2022;UF;Sergipe;Amarela;2221
2022;UF;Sergipe;Parda;993817
2022;UF;Sergipe;Indígena;4469
2022;UF;Bahia;Total;10642642
2022;UF;Bahia;Branca;2058194
2022;UF;Bahia;Preta;2522106
2022;UF;Bahia;Amarela;12548
2022;UF;Bahia;Parda;5987523
2022;UF;Bahia;Indígena;61138
2022;UF;Minas Gerais;Total;16020595
2022;UF;Minas Gerais;Branca;6622432
2022;UF;Minas Gerais;Preta;2044303
2022;UF;Minas Gerais;Amarela;26384
2022;UF;Minas Gerais;Parda;7302440
2022;UF;Minas Gerais;Indígena;23117
2022;UF;Espírito Santo;Total;2939602
2022;UF;Espírito Santo;Branca;1156023
2022;UF;Espírito Santo;Preta;357761
2022;UF;Espírito Santo;Amarela;3917
2022;UF;Espírito Santo;Parda;1412755
2022;UF;Espírito Santo;Indígena;8921
2022;UF;Rio de Janeiro;Total;12584899
2022;UF;Rio de Janeiro;Branca;5349035
2022;UF;Rio de Janeiro;Preta;2130998
2022;UF;Rio de Janeiro;Amarela;17185
2022;UF;Rio de Janeiro;Parda;5070531
2022;UF;Rio de Janeiro;Indígena;14740
2022;UF;São Paulo;Total;34722977
2022;UF;São Paulo;Branca;20056736
2022;UF;São Paulo;Preta;3009771
2022;UF;São Paulo;Amarela;447911
2022;UF;São Paulo;Parda;11151776
2022;UF;São Paulo;Indígena;43679
2022;UF;Paraná;Total;8790454
2022;UF;Paraná;Branca;5648638
2022;UF;Paraná;Preta;419437
2022;UF;Paraná;Amarela;86260
2022;UF;Paraná;Parda;2616518
2022;UF;Paraná;Indígena;18701
2022;UF;Santa Catarina;Total;5905037
2022;UF;Santa Catarina;Branca;4546386
2022;UF;Santa Catarina;Preta;253839
2022;UF;Santa Catarina;Amarela;10552
2022;UF;Santa Catarina;Parda;1079845
2022;UF;Santa Catarina;Indígena;13645
2022;UF;Rio Grande do Sul;Total;8576361
2022;UF;Rio Grande do Sul;Branca;6761293
2022;UF;Rio Grande do Sul;Preta;576551
2022;UF;Rio Grande do Sul;Amarela;7233
2022;UF;Rio Grande do Sul;Parda;1207646
2022;UF;Rio Grande do Sul;Indígena;23172
2022;UF;Mato Grosso do Sul;Total;2031060
2022;UF;Mato Grosso do Sul;Branca;855881
2022;UF;Mato Grosso do Sul;Preta;152675
2022;UF;Mato Grosso do Sul;Amarela;16581
2022;UF;Mato Grosso do Sul;Parda;948638
2022;UF;Mato Grosso do Sul;Indígena;57102
2022;UF;Mato Grosso;Total;2666051
2022;UF;Mato Grosso;Branca;867531
2022;UF;Mato Grosso;Preta;296484
2022;UF;Mato Grosso;Amarela;9742
2022;UF;Mato Grosso;Parda;1462721
2022;UF;Mato Grosso;Indígena;29289
2022;UF;Goiás;Total;5323988
2022;UF;Goiás;Branca;1922526
2022;UF;Goiás;Preta;539380
2022;UF;Goiás;Amarela;14517
2022;UF;Goiás;Parda;2838491
2022;UF;Goiás;Indígena;8372
2022;UF;Distrito Federal;Total;2161332
2022;UF;Distrito Federal;Branca;857682
2022;UF;Distrito Federal;Preta;250640
2022;UF;Distrito Federal;Amarela;10283
2022;UF;Distrito Federal;Parda;1037665
2022;UF;Distrito Federal;Indígena;4495
